relative_likelihood	k_cat
0.0	0.2
7.97787353047659e-295	0.21515151515151515
9.755717789245382e-251	0.23030303030303031
6.602421906176654e-213	0.24545454545454548
1.2903877805085956e-180	0.2606060606060606
3.434761447472859e-153	0.27575757575757576
5.260150645748691e-130	0.2909090909090909
1.7304999800822155e-110	0.3060606060606061
4.022807122636073e-94	0.3212121212121212
1.9059512649776374e-80	0.33636363636363636
4.668573942408386e-69	0.35151515151515156
1.3272124051089414e-59	0.3666666666666667
8.775235161670891e-52	0.38181818181818183
2.4421832549799644e-45	0.396969696969697
4.734802974838211e-40	0.4121212121212121
9.773451187407635e-36	0.4272727272727273
3.6524853436499837e-32	0.44242424242424244
6.279148097900521e-29	0.4575757575757576
5.726713285074193e-26	0.4727272727272727
2.9147670832462246e-23	0.4878787878787879
8.668280981056453e-21	0.503030303030303
1.5703647266375519e-18	0.5181818181818182
1.8000636959427168e-16	0.5333333333333334
1.351531094300113e-14	0.5484848484848486
6.860393757886853e-13	0.5636363636363637
2.423415286433763e-11	0.5787878787878789
6.117696082099499e-10	0.593939393939394
1.1308697393154189e-8	0.6090909090909091
1.5654330197601797e-7	0.6242424242424243
1.6565946673157599e-6	0.6393939393939394
0.00001365910784089382	0.6545454545454545
0.00008930645169084535	0.6696969696969697
0.0004705985092613713	0.6848484848484848
0.0020288591497739025	0.7
0.007256590957940092	0.7151515151515151
0.02181217204457964	0.7303030303030302
0.05576403116949306	0.7454545454545454
0.12261185670659329	0.7606060606060607
0.23427646416199688	0.7757575757575759
0.39275845390520486	0.790909090909091
0.5829329418940032	0.8060606060606061
0.7723931717324664	0.8212121212121213
0.9208123289217734	0.8363636363636364
0.994894157765185	0.8515151515151516
0.9808597173149418	0.8666666666666667
0.8880121050913959	0.8818181818181818
0.7426619860552798	0.896969696969697
0.5769468164854515	0.9121212121212121
0.41851408814829627	0.9272727272727272
0.28485766671854007	0.9424242424242424
0.18275509147949007	0.9575757575757575
0.11099172943711484	0.9727272727272727
0.06406653300088709	0.9878787878787878
0.035279556401753086	1.0030303030303032
0.018599327416803195	1.0181818181818183
0.009418686051668653	1.0333333333333334
0.004595693224914229	1.0484848484848486
0.0021669339911630676	1.0636363636363637
0.0009900645469827908	1.0787878787878789
0.00043946223287340524	1.093939393939394
0.00018996308983347892	1.1090909090909091
0.00008014795972447164	1.1242424242424243
0.00003307636219148365	1.1393939393939394
0.00001337875167608227	1.1545454545454545
5.313786630766646e-6	1.1696969696969697
2.076118061254819e-6	1.1848484848484848
7.992483806327847e-7	1.2
3.0364910091609145e-7	1.215151515151515
1.1401458569132015e-7	1.2303030303030302
4.236878388046919e-8	1.2454545454545454
1.5602396771431756e-8	1.2606060606060605
5.700652982303483e-9	1.2757575757575756
2.06891062179527e-9	1.2909090909090908
7.46634476987129e-10	1.3060606060606061
2.6820081613282486e-10	1.3212121212121213
9.598586472162001e-11	1.3363636363636364
3.4255739231490025e-11	1.3515151515151516
1.2201067034144839e-11	1.3666666666666667
4.340475984485491e-12	1.3818181818181818
1.5433593258467325e-12	1.396969696969697
5.488852562751405e-13	1.412121212121212
1.953692916452389e-13	1.4272727272727272
6.963834627681738e-14	1.4424242424242424
2.487127144052832e-14	1.4575757575757575
8.904891526611956e-15	1.4727272727272727
3.1977811381813568e-15	1.4878787878787878
1.1522643383465613e-15	1.503030303030303
4.1679153183549013e-16	1.518181818181818
1.513966143700686e-16	1.5333333333333334
5.524574400913055e-17	1.5484848484848486
2.0258634772208517e-17	1.5636363636363637
7.467626181367123e-18	1.5787878787878789
2.7678212770947286e-18	1.593939393939394
1.0317842063650434e-18	1.6090909090909091
3.869351088376025e-19	1.6242424242424243
1.4600919587775895e-19	1.6393939393939394
5.544996427381369e-20	1.6545454545454545
2.119726195104949e-20	1.6696969696969697
8.158059115315923e-21	1.6848484848484848
3.161453433614256e-21	1.7
